Sentence, Probility
 那年 秋天 ,0.09999999999999999
 劳 格 林 买下 了 自家 小 院 周围 的 地产 ,3.9801179262514333e-19
 并且 找 来 了 一群 外地 工人 对 院子 进行 了 扩建 ,7.493295860231962e-23
 这项 工程 持续 了 将近 三年 半 的 时间 ,5.328371548545217e-16
 等到 1906 年 开春 的 时候 ,5.767569820317072e-08
 那 几 间 平房 已经 变成 了 一座 高墙 大院 ,6.032742946916822e-18
 院子 里 总 共有 三 座 欧 式 风格 的 小楼 ,4.4907402133162044e-21
 但 整体 的 布局 却是 按照 传统 的 三 合 院 形式 修建 的 — — 从 院 门 进去 就是 宽敞 的 庭院 ,8.285137386976876e-51
 庭院 的 北面 是 一座 两层 高 的 主楼 ,4.076407072329521e-17
 两侧 则 是 两座 单 层 的 厢 房 ,3.025003179418417e-14
 组合 成 一个 “ 凹 ” 字形 的 结构 ,8.538921167806837e-18
 三 座 建筑 都 是 用 的 都 是 崂 山 采 的 花岗岩 ,5.121292553269198e-28
 而且 据说 还 得到 了 德国 设计师 的 参考 ,6.049163022342771e-20
 但 很多 人 都 觉得 那座 院子 的 院墙 修建 得 太 高大 了 ,8.40353409994328e-26
 将 整座 宅子 围 得 密不透风 ,2.208648603783736e-09
 就 好像 要 提防 外人 窥视 一样 ,2.4955015894772712e-09
 还有 少数几个 与 劳 格 林 熟识 的 人 在 书信 里 提到 了 一个 很难 引起 外人 注意 但 却 非常 奇怪 的 现象 — — 劳 格 林 为了 新 建 大院 而 开 挖 的 土方 似乎 太 多 了 一点 ,1.2928103092255924e-83
 根据 他们 的 观察 ,6.113951400704066e-08
 劳 格 林 肯定 在 院子 里 挖 了 一个 很大 的 地窖 ,1.4558280664750261e-25
 因为 工人 们 运走 的 泥土 似乎 远远 超过 了 修建 三 座 小楼 所 需要 开 挖 的 地基 土方 ,1.4991593047294566e-40
 但 这件 事情 并 没有 得到 任何 的 证实 ,4.621636883851308e-19
 那些 院墙 太过 高大 ,0.0002831785345717234
 因而 在 施工 期间 没有 人能 窥见 院子 里 发生 了 什么 事 请 ； 二来 ,9.775941003785105e-30
 劳 格 林 在 大院 完工 后 就 立刻 遣 走 了 那些 从 外地 雇 来 的 工人 ,2.1018320617616754e-33
 所以 其他人 根本 无从 打探 ,2.0433346949891057e-07
 然而 新 居 的 落成 似乎 标志 着 劳 家 内部 出现 了 新 的 转变 ,1.3104508890674973e-32
 一方面 ,1
 劳 家 成员 夜间 出海 的 鬼祟 活动 突然 停止 了 ,2.1770712702514984e-18
 虽然 坊间 仍然 流传 着 过去 的 故事 ,4.176211411035456e-13
 但 1906 年 往后 的 租界 政府 档案 里 却 再也 看不到 任何 巡 防 队 截获 劳 家 渔船 的 记录 了 ,6.960197369179934e-40
 另一方面 ,1
 “ 长生 道 ” 在 这段 时间 里 也 得到 了 蓬勃 的 发展 ,1.0480102027599236e-28
 甚至 将 劳 家 的 新 居 变成 了 一个 主要 的 活动 场所 ,4.885709204823006e-29
 而且 吸引 了 不少 青岛 地区 的 居民 也 投身 进 了 他们 的 活动 中 ,1.6441689366854266e-30
 许多 附近 居民 和 晚上 打 更 的 人 都 声称 自己 在 夜深 的 时候 看到 有 形迹 可疑 的 人 出入 劳 家 的 院子 ,5.549101068807266e-57
 或是 听到 那些 刻意 加高 的 院墙 后面 传来 奇怪 的 声音 — — 那 像是 一大 群 人 发出 的 ,9.185774594217822e-35
 没有 内容 的 狂野 呼喊 ,6.586693852566571e-10
 还有 一些 杂乱 的 ,8.985722394446141e-06
 带有 旋律 的 哨声 和 其他 乐器 的 声音 ,1.0284732596372362e-16
 让 人 不祥 地 联想 到 某些 流传 在 沿海 地区 偏僻 村庄 里 的 古老 请 神 仪式 ,7.184886977021921e-36
 即便 在 白天 的 时候 ,4.878211112101462e-09
 人们 也 经常 会 在 劳 家 大院 的 周围 闻到 奇怪 的 臭味 ,1.321888506129741e-29
 或者 看到 工人 抬 着 密封 的 箱子 出入 大院 — — 至于 箱子 里 是 什么 ,3.2737505260649647e-29
 就 连 搬运 的 工人 也 不 知道 ,1.3197480118282209e-14
 而 在 这种 情势 下 ,7.053375023628349e-08
 作为 劳 家 的 一家 之主 ,1.3780233214279634e-11
 劳 格 林 似乎 也 丧失 了 控制 事态 的 能力 ,2.6204369498083806e-20
 许多 与 劳 格 林 有 来往 的 德国 商人 纷纷 表达 了 自己 的 意见 ,9.655301068342183e-31
 公开 或 含蓄 地 提醒 自己 的 生意 伙伴 应当 制止 那些 发生 劳 家 大院 里 ,5.707869780174462e-31
 令人不安 的 古怪 活动 ,2.2052948164127423e-06
 虽然 劳 格 林 也 全都 答应 了 下来 ,3.2678221658483804e-15
 但 那些 午夜 里 的 古怪 声响 并 没有 就此 消失 ,5.735535964224865e-20
 那些 徘徊 在 院子 周围 ,7.780064332048264e-09
 形迹 鬼祟 的 外地人 也 不见 减少 ,6.186592859592119e-10
 在 1907 年 年底 到 1909 年 年初 的 那段 时 间里 ,1.3627613703142283e-24
 几个 青岛 本地 的 “ 长生 道 ” 信徒 神秘 失踪 的 案子 又 给 劳 格 林 的 生意 带来 了 致命 的 打击 ,3.440448612272235e-49
 即便 租界 政府 与 巡捕 局 并 没有 发现 失踪 案 与 劳 家 — — 或者 “ 长生 道 ” — — 有 什么 明显 联系 ,1.7590822962104653e-50
 但 许多 没什么 见识 的 居民 都 相信 这是 劳 家 与 “ 长生 道 ” 的 信徒 正在 举行 某些 神秘 的 祭祀 ； 而 另 一些 开明 的 知识分子 则 将 民间 的 流言 与 劳 家 大院 里 发生 的 事情 斥 为 愚昧无知 的 迷信 ,1.6684956574922318e-104
 1908 年 的 时候 ,0.00036812397169472754
 更 有 几个 知识分子 还 在 《 胶州 报 》 的 《 论 说 》 专栏 里 发表文章 指责 劳 格 林 等 人 “ 夜 聚 晓 散 ,6.5152786812755535e-53
 妄 求 长生 之 术 ,7.11747464529349e-06
 实则 诳 诱 愚民 ,0.6859999999999998
 谋财害命 也 ,1.4
 多方 影响 之下 ,0.00012974976830398518
 劳 格 林 的 行栈 生意 自然 一落千丈 ,1.3545723039135796e-12
 许多 原来 的 友人 也 刻意 地 与 他 疏远 了 关系 ,2.5412445881131868e-26
 而 那些 迷信 的 居民 们 更 对 整个 劳 家 怒 目 相 向 ,4.134521658992106e-29
 在 仅存 的 几个 还 与 劳 格 林 保持 来往 的 朋友 看来 ,8.94589594516637e-29
 这个 让 人 琢磨不透 的 商人 似乎 不再 关注 公众 们 的 看法 了 ,1.525175903769844e-27
 在 那段 时 间里 ,1.5590613814132304e-07
 他 变得 越来越 焦躁 和 恐惧 ,7.564042655812217e-12
 但 却 绝口 不提 与 劳 家 或是 他 自己 有关 的 任何 事情 ,6.596833790408175e-26
 越来越 多 的 钱 被 花 在 了 一些 看起来 毫无意义 的 事情 上 ,2.5654301794522052e-27
 像是 从 国内 和 海外 搜罗 神秘 的 古籍 ,1.0423591785176728e-17
 或是 会见 某些 奇 人 异 士 ,1.4414940405508416e-11
 而 那些 真正 应该 关注 的 生意 则 全都 被 抛 到 了 一边 ,4.404284558948605e-30
 1909 年 年初 ,0.000748091603053435
 刚 过 春节 ,0.0008156329651656753
 劳 格 林 又 做 了 一件 令 所有人 都 困惑 的 事情 ,4.598506084914943e-23
 他 将 自己 最 宠爱 的 小 儿子 — — 也 就是 劳 铭 昌 的 祖父 — — 年 仅 五 岁 的 劳 斯 惟 送 去 了 东北 ,1.0032473680785079e-56
 托 付给 了 奉 天府 的 药材 商人 王 志 承 ,1.928413466243599e-18
 虽然 劳 格 林 对外 宣称 这是 为了 让 劳 斯 惟 从小 跟随 王 志 承 长大 ,4.941832440516363e-24
 学习 药材 经营 的 门道 ,3.510917120657101e-10
 但 这个 借口 即便 在 今日 看来 也 站 不住 脚 ,1.0748941488544616e-22
 因为 不论是 开始 学习 接管 生意 的 长子 劳 斯 明 ,1.2567702179627916e-17
 还是 已经 年 满 十六 岁 的 次子 劳 斯 德 ,2.9786012015836325e-18
 都 比 一个 五 岁 大 的 孩子 更 适合 学习 经营 药材 生意 ,1.1199508449510645e-30
 对于 这种 毫无道理 的 安排 ,9.331495421515074e-10
 喜欢 议论 的 闲 人们 纷纷 给出 了 自己 的 看法 ,3.9722096287176046e-19
 多数 人 觉得 这 和 劳 斯 惟 的 身份 有关 — — 因为 劳 斯 惟 是 小 妾 的 儿子 ,1.4051668985271013e-38
 而 他 的 母亲 在 生 他 的 时候 难产 死 了 ,2.697981341411747e-22
 所以 正 妻 一直 想 将 他 送走 ； 也 有人 觉得 劳 格 林 只是 找个 借口 让 他 出去 避 一 避 而已 ,4.047370585980458e-44
 可是 没有 人 料到 ,1.0286255391587246e-07
 这件 事 只是 一桩 更大 变故 的 序曲 ,7.723633565111052e-12
 对于 劳 家 在 1909 年 之后 的 历史 ,1.9341974824942897e-16
 劳 铭 昌 起初 了解 得 并不多 ,6.264856862912155e-08
 他 只是 注意 到 了 一个 奇特 的 现象 — — 在 青岛 档案馆 里 收藏 的 1909 年 之后 的 历史 材料 里 几乎 找 不到 任何 与 劳 格 林 ,1.4017437531092934e-62
 乃至 整个 劳 家 ,0.00010402871151999189
 直接 有关 的 记录 ,2.7374831530807415e-08
 就 好像 这家 人 突然 凭空 消失 了 一般 ,2.868976425480872e-16
 而 经过 进一步 的 发掘 后 ,4.849105550152218e-14
 他 又 在 收养 了 祖父 劳 斯 惟 的 药材 商人 王 志 承 1910 年 写 给 另 一个 生意 伙伴 的 书信 里 找到 了 这样 一句 带有 不祥 蕴意 的话 ： ,3.942411609004055e-61
 “ 兴 长 之事 ,2.5786805816180214e-08
 君 必 有所 耳闻 ,0.00010029239766081868
 那日 兴 长 将 斯 惟 托付 于 我 ,2.412839260593939e-11
 怕 是 料到 有 此 一 劫 ,1.0047014455982655e-15
 这里 提到 的 “ 兴 长 ” 就是 劳 格 林 的 字 ,1.8511599447788805e-27
 但 信里 并 没有 就 劳 家 发生 的 事情 做 详细 说明 ,1.786910881722862e-25
 再 后来 他 又 在 别的 地方 看到 了 一些 隐约 提及 1909 年 变故 的 内容 ,2.3328410656130984e-31
 但 都 非常 简略 ,7.252104557815162e-08
 一笔 带 过 ,0.00630225080385852
 仿佛 知情者 全都 有所 忌讳 一般 ,8.707557006210612e-07
 这 让 整件 事情 变得 扑朔迷离 起来 ,2.5375010676800595e-10
 虽然 劳 铭 昌 对 这个 谜团 很感兴趣 ,6.29942746204416e-11
 并且 认为 祖父 肯定 因为 1909 年 发生 的 事情 而 失去 了 与 家族 的 联系 ,2.7861699976979234e-34
 然而 由于 缺乏 详细 的 材料 ,3.1067899786104766e-11
 相关 的 研究 一直 在 死胡同 里 打转 ,5.998058642187572e-16
 直到 2010 年 ,0.009074074074074073
 一件 意料 之外 的 事情 给 他 带来 了 全新 的 线索 ,2.9184719329168275e-21
 由于 有着 专业 的 文史 研究 背景 ,1.893492742308435e-14
 而且 经常 在 档案馆 里 协助 工作人员 整理 修 裱 文书 ,5.581368851499547e-17
 劳 铭 昌 以及 他 的 研究 工作 在 青岛 地区 的 历史 爱好者 圈子 里 一直 小 有名气 ,1.3159504158849645e-33
 2010 年 春天 ,0.0004363867684478371
 青岛 市 文物 保护 考古 研究所 举办 学术 研讨会 的 时候 还 特意 邀请 劳 铭 昌 做 了 一个 有关 德 占 时期 青岛 地区 商业 文化 发展 的 报告 ,2.181769870059657e-57
 在 这次 会议 上 ,6.27078190431659e-06
 劳 铭 昌 认识 了 来自 青岛 海洋 大学 的 博士 研究生 罗 广 胜 ,1.5027627985614139e-24
 这个 年轻人 的 广博 学识 给 劳 铭 昌 留下 了 非常 深刻 的 印象 ,3.868743314828591e-25
 也 让 他们 很快 成 为了 志同道合 的 好友 ,1.0533340926732223e-18
 当时 罗 广 胜 正在 从事 有关 民间 宗教信仰 的 研究 ,2.6313540624628388e-20
 因此 他们 谈论 的 话题 主要 围绕 着 秘密 教派 “ 长生 道 ” 展开 ,1.978272552857808e-32
 在 研读 过 罗 广 胜 收集 的 材料 后 ,2.550754311547385e-20
 劳 铭 昌 意识 到 “ 长生 道 ” 的 历史 可能 比 他 想象 的 要 久远 得 多 ,2.5842352993251682e-36
 这 很 是 一个 在 中国 沿海 地区 流传 了 数百 乃至 上千年 的 密 教 团体 ,3.511368206228176e-35
 并且 有着 超乎寻常 的 生命力 ,8.02987540617957e-09
 在 两 晋 时期 候 ,2.905027800477583e-10
 它 被 称 做 “ 服 食 教 ” ； 在 唐 朝 的 时候 ,1.0392231283995082e-30
 它 又 变成 了 “ 金 丹 教 ” ； 甚至 当 蒙古 南下 灭 宋 ,9.560728483608348e-29
 建立 元 朝 后 ,5.7207784761964306e-08
 它 不仅 化身 为 萨满 崇拜 的 分支 存活 了 下来 ,3.5543351700199103e-19
 而且 远 播 到 了 朝鲜 半岛 ,6.2832064288427105e-12
 所谓 的 “ 长生 道 ” 只是 它 最近 的 名字 而已 ,3.0722336909932143e-25
 虽然 咋 看 之下 ,9.461938456021293e-07
 这些 密 教 团体 似乎 没 有太多 的 联系 ,3.6690239556150633e-16
 但 它们 在 解释 长生不死 这件 事情 上 却 出奇 的 一致 ,1.618883524989726e-23
 它们 相信 世间 的 一切 活物 都 是 神明 用 泥 和 水 做成 的 ,2.467482238335145e-28
 因此 万物 在 诞生 之初 也 如同 泥土 一般 没有 固定 的 形状 ,7.431155503557874e-26
 直到 怀 胎 发育 ,0.0004270152505446622
 才 渐渐 有 了 各种 的 形状 ； 一朝 分娩 临盆 ,2.9184809473914056e-21
 活物 就 好像 出 窑 的 瓷 胎 ,3.1969781212919525e-14
 再 没有 了 变化 的 余地 ； 然而 ,9.775080067604782e-19
 瓷器 虽然 坚硬 ,0.0019329388560157786
 却 禁 不起 磕碰 ,0.0008705583756345176
 终 有 一天 会 粉身碎骨 ,2.484719425414066e-09
 所以 人和 其他 活物 也 免不了 一死 ,8.689594556000903e-10
 只有 追 本 溯源 ,8.357211079274113e-07
 回复 到 最初 的 模样 ,5.075656460740494e-09
 像是 泥土 一样 容易 改变 ,4.860119250039674e-08
 才能 修复 破损 ,0.002592592592592592
 获得 真正 的 长生 ,1.8650071327828747e-08
 而 另 一件 值得注意 的 事情 是 ,9.847693181977754e-12
 它们 都 提到 一种 在 古书 中 被 称为 “ 太岁 ” 的 东西 ,7.004207823306775e-27
 并且 也 都 隐晦 地 暗示 “ 太岁 ” 才是 长生不死 的 关键 所在 ,9.291635261302448e-26
 虽然 这些 故事 非常 离奇 有趣 ,4.268035309224768e-11
 但 在 所有 材料 里 真正 引起 劳 铭 昌 注意 的 还是 罗 广 胜 手中 一本 叫做 《 驳 伪 详 辩 》 的 小册子 ,1.8562179612671807e-45
 这 本书 是 清 末 民 初 的 胶州 知 州 王 育 楩 编写 的 ,7.550242326389278e-27
 此人 为了 查禁 邪教 ,0.00012727272727272725
 曾 亲自 研究 了 当时 流传 在 山东 半岛 地区 大大小小 数十种 邪教 ,1.0538927648105365e-23
 并 它们 的 各种 “ 妖言 ” 一一 摘 出 ,2.7253158442588705e-20
 并 加以 辩驳 ,1.3682373472949392e-05
 以 期 能够 警醒 世人 ,1.4272806172795473e-08
 而 这 当中 自然 也 包括 了 一直 在 胶州 湾 地区 发展 的 “ 长生 道 ” ,5.966742514916293e-34
 但 让 劳 铭 昌 感兴趣 的 并 不是 书中 对于 “ 长生 道 ” 的 记载 ,1.9671842559747577e-32
 而是 王 育 楩 在 驳斥 “ 长生 道 ” 妖言惑众 时 曾 写 进 了 这样 一句话 ,2.4033803451293556e-34
 “ 吾 闻 己 酉 年 八月 ,1.748331406242251e-10
 青岛 劳 府 二十 余 人 暴 毙 而 亡 ,7.38495359977602e-12
 岂 长生 邪 ？ ” ,0.0010124054523605933
 这 也是 劳 铭 昌 第一次 见到 有关 劳 家 变故 的 直接 记载 ,1.6329427398058667e-20
 虽然 王 育 楩 也 在 文章 中 表示 劳 家 的 事情 只 听说 众 口 交 传 ,1.0757952865994105e-35
 没有 详细 考究 ,2.9445345832582176e-05
 但 考虑 到 《 驳 伪 详 辩 》 的 成书 时间 ,4.4161764733340814e-17
 以及 王 育 楩 在 胶州 湾 地区 生活 了 三十余年 的 事实 ,7.295364796193573e-24
 这一 说法 仍然 有着 相当 可信度 ,1.4153277311172043e-09
 劳 铭 昌 将 这个 发现 告诉 了 罗 广 胜 ,1.9997856301626605e-19
 而 后者 又 提出 了 一个 非常 吸 引人 的 想法 ： “ 劳 府 二十 余 人 暴 毙 ” 这样 重大 的 事情 不 可能 没有 留下 任何 相关 的 文字 记录 — — 即使 民间 可能 会 因为 某种 忌讳 而 刻意 掩盖 下去 ,6.252648125234034e-85
 但 德国 殖民 政府 的 档案 里 必然 也 会 提及 — — 如果 青岛 市 存留 的 历史 文件 里 没有 相关 的 记载 ,2.5061409400638513e-51
 那么 很 可能 是 那 部分 文件 在 德国 撤离 青岛 时 一并 带走 了 ,2.895489362362244e-27
 也 正是 这个 意见 让 劳 铭 昌 看到 了 全新 的 可能 ,2.1051179054226203e-23
 由于 2010 年 恰好 是 青岛 与 德国 曼 海 姆 市 正式 缔结 友好 合作 关系 的 第 十五 个 年头 ,2.7387278502687578e-39
 两座 城市 举办 了 一系列 的 交流 活动 ,1.0923877383809805e-13
 因此 劳 铭 昌 通过 青岛 档案馆 里 的 朋友 向 几个 来访 的 曼 海 姆 市 历史 协会 成员 介绍 了 自己 的 家族 历史 ,8.865096476657989e-48
 并且 希望 他们 能够 提供 适当 的 帮助 ,4.389311921195215e-16
 这一 举动 引起 了 几个 德国 学者 的 浓厚 兴趣 ,6.541860415437174e-17
 其中 来自 曼 海 姆 大学 历史 系 的 哈 勃 格 教授 当即 表示 愿意 协助 劳 铭 昌 的 工作 ,3.797230383188607e-35
 在 德国 搜寻 相关 的 历史 文件 ,2.0463702501169953e-13
 这一 合作 直到 2011 年 春天 终于 有 了 结果 ,1.8716217280014823e-18
 那年 4 月份 曼 海 姆 市 历史 协会 向 劳 铭 昌 寄来 了 一份 1909 年 的 青岛 巡捕 局 出 警 记录 及 相关 案卷 的 影印件 以及 对应 的 英文 译稿 ,1.8398839035076527e-54
 记录 上 登记 的 日期 是 8 月 19 日 ,1.9178170811843754e-19
 负责 填写 记录 的 是 德国人 马克 西 米 利 安 • 阿 登 纳 警官 ,8.079435120404905e-26
 根据 案卷 的 叙述 ,9.981284727386704e-08
 那天 早晨 天刚 亮 的 时候 ,3.314024888530651e-07
 几 户 住 在 劳 家 附近 的 居民 全都 惊恐万分 地 聚集 到 了 巡捕 局 的 门前 要求 巡捕 局 派 人 干预 劳 家 的 活动 ,6.218346338705332e-54
 当时 还 在 值班 的 阿 登 纳 警官 和 巡捕 兼 翻译 宋 鸿 绪 花 了 不少 时间 才 从 结结巴巴 的 居民 那里 弄 明白 了事 情 的 经过 ,2.438187367898114e-59
 原来 在 前一天 晚上 子 时 的 时候 ,4.976041681326706e-15
 劳 家 的 大院 里 突然 传出 了 许多 响亮 的 声音 ,3.219415649243009e-22
 那 当 中有 很多 人 发出 的 疯狂 呼喊 与 痛苦 嚎叫 ,2.3402675158233355e-23
 还有 一些 非常 尖锐 而且 带有 某些 旋律 的 哨音 ,1.2632371142615424e-20
 从 声音 的 杂乱 程度 来 判断 ,1.2075204220976473e-15
 整座 院子 里 肯定 挤满 了 人 ,4.529262573235731e-10
 但 院 墙上 却 没有 透出 一点点 光亮 ,7.131525895145663e-13
 远远望去 只有 黑糊糊 的 一片 ,1.6760240604736837e-07
 完全 不 像是 有人 在 活动 的 模样 ,1.546407540068433e-17
 这种 匪夷所思 的 情景 自然 引发 了 许多 非常 可怕 的 联想 ,1.354869705332603e-23
 居民 们 纷纷 死死地 锁住 了 门窗 ,1.1159954985723827e-11
 连 出门 的 胆子 都 没有 了 ,2.1537137409685042e-13
 更 别提 靠近 偷偷 院 门 看看 里面 的 情况 ,1.0606472579120874e-14
 那些 令人 恐惧 的 吵闹 在 黑暗 里 持续 了 很长 的 时间 ,9.729501391018636e-27
 而 大院 里 也 一直 都 没有 光亮 ,4.36884868402499e-16
 一直 等到 天快 亮 的 时候 ,4.0394830730846236e-08
 吵闹 才 逐渐 平息 下来 ,3.660256263672604e-06
 几个 居民 壮 着 胆子 出 了 门 ,3.2402274762902996e-14
 并且 闻到 空气 里 有 一种 非常 奇怪 的 臭味 ,5.919581837293769e-19
 但 仍然 没有 人敢 靠近 劳 家 的 院子 ,3.3320492434651036e-16
 在 确定 安全 后 ,3.392213623614515e-09
 所有人 全都 跑 到 巡捕房 的 门前 ,3.845436505402819e-12
 阿 登 纳 警官 早前 就 听说 过 与 劳 格 林 有关 的 传闻 ,1.1614960950735914e-25
 他 立刻 带 着 宋 鸿 绪 以及 几个 还 没 被 吓 破 胆 的 人 赶到 了 劳 家 大院 ,9.600192300231301e-40
 在 院 门前 ,2.5474859173418797e-06
 他 闻到 了 附近 居民 口中 提到 的 那种 奇怪 而 又 恶心 的 臭味 ,1.8814662494519128e-31
 这 给 了 他 一种 非常 不祥 的 心理 暗示 ,3.8398675625899656e-21
 随后 他 开始 敲门 ,1.2895872583866155e-07
 但 没有 人 应答 ,5.673025700814784e-08
 于是 他 示意 随行 人员 将 院 门 撞开 ,4.928273867097183e-16
 由于 人手 很多 ,0.00028959810874704486
 所以 他们 没有 耽误 太 长时间 ,1.0543580864531373e-10
 但 在 大门 被 撞开 的 瞬间 ,6.833179711063374e-15
 那种 无处不在 恶心 臭味 骤然 浓烈 了 起来 ,1.393821863177488e-09
 甚至 有些 让 人 觉得 反胃 了 ,9.001739198503395e-12
 冲 在 最 前面 的 两 个人 几乎 立刻 就 吓 瘫 在 了 地上 ,7.040862352748269e-31
 而 其他 几 个人 — — 连同 阿 登 纳 警官 在内 — — 纷纷 觉得 两腿 发 软 ,3.639371809057324e-32
 不由自主 地 往后 退去 ,4.6555468420100137e-05
 有 几个 人 连滚带爬 地 跑 走 了 ,1.304845807697736e-14
 剩下 的 人 坚决 拒绝 踏入 院子 半步 ,1.447955631708783e-11
 而且 也 劝说 阿 登 纳 警官 不要 这样 做 ,1.115384679024847e-14
 直到 最后 ,0.016666666666666663
 在 完全 适应 了 院子 里 的 景象 和 浓烈 到 让 人 窒息 的 恶臭 后 ,1.300853848391983e-37
 阿 登 纳 警官 只身 一人 小心翼翼 地 走进 了 劳 家 的 院子 ,7.937944356587915e-23
 根据 他 的 回忆 ,9.494864827926417e-08
 在 那座 宽敞 庭院 里 散乱 地 分布 着 共计 十五 具 尸体 ,1.47639367080614e-22
 但 真正 令人 恐惧 的 不是 死者 的 数量 ,4.240245457286924e-18
 而是 尸体 的 状态 — — 所 有的 尸体 全都 腐烂 得 非常 厉害 ,5.7261155818426245e-25
 只 留下 骨骼 和 一些 黑色 的 黏液 ,2.0163133204078604e-16
 那种 无处不在 的 古怪 恶臭 就是 从 这些 黑色 黏液 里 散发出 来 的 ,1.5681486347231784e-23
 在 清点 过 院子 里 的 十五 具 尸体 后 ,5.2286869604285945e-18
 他 又 壮 着 胆子 走进 了 院子 里 的 三 座 楼房 ,2.728492163193603e-25
 并且 在 那 里面 又 发现 了 共计 十 三具 尸体 ,6.782648357084132e-20
 楼房 里 发现 的 尸体 与 院子 里 的 情况 基本 一致 ,2.392797404638878e-23
 也 都 腐烂 得 只 剩下 骨头 与 黑色 的 黏液 ,4.039971952570124e-23
 另 一份 报告 表示 ,2.29761287734984e-06
 由于 尸体 高度 腐烂 ,3.998395978756044e-07
 警官 们 只能 根据 尸体 的 衣物 与 其他 随身 物件 来 辨认 死者 — — 奇怪的是 ,3.021151422469409e-30
 这些 东西 没有 任何 腐烂 的 迹象 ,1.8441974451640592e-13
 租界 政府 统计 的 死者 包括 了 劳 格 林 在内 的 二十二 为 劳 家 成员 以及 六个 下人 — — 这 意味着 ,1.5643163436226936e-43
 除开 一 年前 被 送 去 东北 的 劳 世 惟 外 ,2.0252062199015364e-20
 劳 家 的 所有人 都 死 在 这次 变故 中 ,4.888598557033872e-18
 大多数 尸体 ,0.017948717948717947
 或者 尸体 剩下 的 部分 ,2.076369888683997e-08
 都 没有 挣扎 的 迹象 ,1.5066441112507267e-10
 德 军 的 医 官 也 化验 了 采集 到 的 黑色 黏液 ,6.988957174342368e-27
 但 没有 得到 任何 有 价值 的 结果 ,3.435511845919743e-16
 8 月份 的 时候 ,0.001156456601726842
 曼 海 姆 市 历史 协会 又 陆陆续续 寄来 了 几份 影印件 ,8.782878621295288e-19
 介绍 了 租界 政府 对 这一 事件 的 后续 处理 ,4.7597434235013105e-18
 为了 避免 引起 更大 的 恐慌 ,7.857590531991012e-12
 阿尔 弗 雷德 • 麦尔 • 瓦尔 代 克 代 总督 下令 严格 封锁 了 事情 的 具体情况 ,3.629889121318441e-25
 并且 对 劳 家 大院 进行 了 一次 彻底 的 清理 ,5.379781081555037e-22
 在 1910 年下 半年 ,0.0001818904944982102
 那座 院子 被 低 价 转让 给 了 一个 初 来 青岛 ,1.9864429347074174e-22
 名叫 威廉 • 海森堡 的 德国 商人 ,7.016033595636594e-10
 但 海森堡 只 在 院子 里 住 了 不到 三个 月 就 神秘 失踪 了 ,4.6685114983769697e-29
 在 失踪 前 他 曾 声称 自己 在 房子 里 发现 了 非常 奇怪 的 东西 ,4.267862721709438e-34
 同时 还 向 人 抱怨 说 ,1.2421695503170498e-11
 院子 里 经常 会 有 非常 奇怪 的 臭味 ,1.37621131513484e-17
 而且 在 晚上 的 时候 还 常常 听到 很多 人 在 说话 和 一些 奇怪 的 尖锐 声音 ,3.065328618790314e-39
 这件 事情 让 原本 逐渐 平息 下来 的 迷信 传说 再度 蓬勃 发展 了 起来 ,2.5343706225642443e-25
 总督 府 甚至 找 来 了 两个 牧师 在 院子 里 举行 了 驱魔 仪式 ,4.436784686680608e-25
 后来 又 下令 永久 关闭 了 整座 院子 ,2.9081768679179834e-13
 与 劳 家 有关 的 所有 信息 全都 终 结了 ,7.361146525771638e-20
